순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	박준혁	한화	0.375	6	9	8	3	3	2	0	0	5	3	0	0
2	김태균	한화	0.365	144	652	529	94	193	39	0	23	301	136	0	6
3	이용규	한화	0.352	113	530	452	98	159	20	4	3	196	41	7	1
4	김태완	한화	0.350	24	24	20	3	7	1	1	0	10	0	0	0
5	최진행	한화	0.329	28	85	70	4	23	2	0	1	28	9	2	0
6	송광민	한화	0.325	116	494	449	80	146	27	2	17	228	83	7	6
7	로사리오	한화	0.321	127	532	492	78	158	31	2	33	292	120	1	2
8	정근우	한화	0.310	138	650	575	121	178	31	2	18	267	88	1	5
9	이양기	한화	0.288	17	58	52	5	15	2	0	1	20	9	1	1
10	이성열	한화	0.288	86	219	198	29	57	7	3	10	100	29	2	0
11	하주석	한화	0.279	115	441	405	58	113	21	1	10	166	57	8	1
12	신성현	한화	0.278	89	184	158	30	44	8	0	8	76	24	6	0
13	이종환	한화	0.276	31	33	29	3	8	1	0	0	9	4	0	1
14	양성우	한화	0.271	108	446	384	52	104	12	4	4	136	53	8	6
15	김경언	한화	0.264	66	217	182	23	48	6	1	5	71	25	2	3
16	권용관	한화	0.250	40	49	44	7	11	2	1	0	15	3	1	0
16	김원석	한화	0.250	11	9	8	2	2	0	0	0	2	0	0	0
16	주현상	한화	0.250	15	8	8	0	2	0	0	0	2	0	0	0
19	장운호	한화	0.237	51	85	76	7	18	2	1	0	22	11	3	0
20	장민석	한화	0.229	98	227	205	38	47	7	3	1	63	16	6	0
21	차일목	한화	0.228	117	329	276	30	63	8	0	3	80	38	13	6
22	허도환	한화	0.218	48	93	78	9	17	8	0	0	25	12	4	0
23	김회성	한화	0.200	28	58	45	12	9	0	0	1	12	8	0	2
24	조인성	한화	0.168	76	146	137	10	23	2	0	3	34	7	6	0
25	오선진	한화	0.163	57	53	43	6	7	0	0	0	7	3	3	0
26	강경학	한화	0.158	46	116	101	16	16	3	2	1	26	7	4	1
27	최윤석	한화	0.125	11	17	16	2	2	0	0	0	2	0	0	0
28	송주호	한화	0.106	33	52	47	3	5	0	0	0	5	1	2	0
29	권혁	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
29	김경태	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
